Startup Speech,Completion Score
"MINUTES.    EVERY DAY « Boring data entering   Connecting data silos j » Manual calculations   =  “ MINUTE  EVERY DAY « Boring data entering   Connecting data silos j » Manual calculations   ij MINUTE  EVERY DAY « Boring data entering   Connecting data silos j  » Manual calculations   EVERY DAY « Boring data entering   Connecting data silos j » Manual calculations  MINUTES.    EVERY DAY « Boring data entering   Connecting data silos j » Manual calculations   =  “ MINUTE  EVERY DAY « Boring data entering   Connecting data silos j » Manual calculations   ij MINUTE  EVERY DAY « Boring data entering   Connecting data silos   ¢ Manual calculations   S14 2 billion  14 million 4 $900_ 0000   Automated management  & production suggestions  Save changes  34 £0 a 5  1 & production suggestions coworvs  Warehouses  ‘conn sronace S07 BEAN STORAGE WHEAT STORAGE  1,648,390 2002 97%) 00.0000 196,775.00 0%) of 3.500 000.00 1,578,104. 0(2 0) of 000,000.09  vay stoRAGe ‘ouurewn sronace  11829020981 10%) of 2.00 00009 {9 7070988 0F%) of 2.000009  Total milk graph  miseries  ""ays dat ake ft   Lad  Animal Database  ay  Transfers  Reproduction  Fe)  Milking  a  Feeding  +9  Veterinary  @farmeron  60%  time savings  Results  323 .  farms  = Oetsber 2011 Noveniberaaii “January 2012 on $15,000 $2,000  per animal total revenue per month @farmeron  Team  Matija Kopic CEO, CS engineer farming background  Ana Herman Product Strategist Farm manager  ‘Six Sigma Black Belt  Davor Grubelic CS engineer Front end  EY © 60  Marko Dukmenic  CS engineer Back end  Benjamin Alijagic Designer, UX   Raising  $200,000  already raised   Thank you!  angel.co/farmeron  Matija Kopic founders@farmeron.com @farmeron",38
"mixpanel @e-   PROBLEM 1 Most of the world will make decisions by either guessing or  using their gut. They will be either lucky or wrong.   PROBLEM 2 Companies on mobile & web are measuring bullshit metrics like  page views and installs. It’s really hard to be really sophisticated.   SOLUTION Mixpanel has built analytics software for product and marketing. As we  continue to penetrate organizations, we will build software for sales and finance next.   MISSION  Help the world learn from its data.   COMPETITIVE ADVANTAGE In 2010, we built the most sophisticated analytics database  engine to answer questions that existing technology could not answer. It’s the reason we are winning.   MONTHLY RECURRING REVENUE OVER TIME  1012 to 2013 growth rate  3 to 2014 growth   Sales KPIs  2015 target: % YoY growth- _ M (conservative), 63 sales reps Avg revenue per customer:$ —_/mo; we have a wide distribution Leads per month: ; 26% of new customers are touched by sales  New customers per month: — ; 4x spendin 5 months, x in 12 months  Avg monthly revenue churn rate: %, — % in Sept.  Started 2014 with 5 quota carrying sales reps, will end with 33  Sales payback rate is around 6 months; we will get this down in 2015   Marketing  leads - most are organically acquired % of customers that sign up will integrate  % will become paid customers  Our best marketing programs are freemium usage, world-class customer support, PR, and education  August snapshot: General: $36K PR: $5K Advertising: $42K Total: $83K   2015/2016 expansion plan  8x sales headcount and rapidly race towards distribution  Improve churn rates by expanding the CSM team by x - reduce churn under % per month  Reduce sales ramp time by 30-50% via sales enablement Build out leadership team: CFO, HR, CMO  Expand customer facing teams like support, sales eng, etc. to accommodate new customers  Double headcount every 6-9 months  Double down on marketing to widen our lead flow to lower cost per acq. long-term  Expand into NY in 2015, international in 2016   Competition  Startups  KISSmetrics Localytics Upsight Amplitude Heap Analytics  Incumbents  Google Analytics  Omniture   Financing history  Y Combinator  Max Levchin, Michael Birch  Sequoia Capital,  Keith Rabois, Max  Levchin, Michael Birch  $10.25M  Series A  Andreessen  Horowitz, Marc  Benioff, David Sacks",54
"['mixpanel\n@e-\n\n', 'PROBLEM 1\nMost of the world will make\ndecisions by either guessing or\n\nusing their gut. They will be either\nlucky or wrong.\n\n', 'PROBLEM 2\nCompanies on mobile & web are\nmeasuring bullshit metrics like\n\npage views and installs. It’s really\nhard to be really sophisticated.\n\n', 'SOLUTION\nMixpanel has built analytics software\nfor product and marketing. As we\n\ncontinue to penetrate organizations,\nwe will build software for sales and\nfinance next.\n\n', 'MISSION\n\nHelp the world learn from its data.\n\n', 'COMPETITIVE ADVANTAGE\nIn 2010, we built the most\nsophisticated analytics database\n\nengine to answer questions that\nexisting technology could not\nanswer. It’s the reason we are\nwinning.\n\n', 'MONTHLY RECURRING REVENUE OVER TIME\n\n1012 to 2013 growth rate\n\n3 to 2014 growth\n\n', 'Sales KPIs\n\n2015 target: % YoY growth- _ M (conservative), 63 sales reps\nAvg revenue per customer:$ —_/mo; we have a wide distribution\nLeads per month: ; 26% of new customers are touched by sales\n\nNew customers per month: — ; 4x spendin 5 months, x in 12 months\n\nAvg monthly revenue churn rate: %, — % in Sept.\n\nStarted 2014 with 5 quota carrying sales reps, will end with 33\n\nSales payback rate is around 6 months; we will get this down in 2015\n\n', 'Marketing\n\nleads - most are organically acquired\n% of customers that sign up will integrate\n\n% will become paid customers\n\nOur best marketing programs are freemium usage, world-class customer\nsupport, PR, and education\n\nAugust snapshot:\nGeneral: $36K\nPR: $5K\nAdvertising: $42K\nTotal: $83K\n\n', '2015/2016 expansion plan\n\n8x sales headcount and rapidly race towards distribution\n\nImprove churn rates by expanding the CSM team by x - reduce churn\nunder % per month\n\nReduce sales ramp time by 30-50% via sales enablement\nBuild out leadership team: CFO, HR, CMO\n\nExpand customer facing teams like support, sales eng, etc. to\naccommodate new customers\n\nDouble headcount every 6-9 months\n\nDouble down on marketing to widen our lead flow to lower cost per\nacq. long-term\n\nExpand into NY in 2015, international in 2016\n\n', 'Competition\n\nStartups\n\nKISSmetrics\nLocalytics\nUpsight\nAmplitude\nHeap Analytics\n\nIncumbents\n\nGoogle Analytics\n\nOmniture\n\n', 'Financing history\n\nY Combinator\n\nMax Levchin,\nMichael Birch\n\nSequoia Capital,\n\nKeith Rabois, Max\n\nLevchin, Michael\nBirch\n\n$10.25M\n\nSeries A\n\nAndreessen\n\nHorowitz, Marc\n\nBenioff, David\nSacks\n\n']",54
"bi The marketplace for commercial open-source  & http://angel.co/binpress J founders@binpress.com   A platform for monetizing open-source    (Q) Magento Mysau  ie SS) redhat.  Acaquia Qworvrress  cloudera @ spring Kaltura  ye  yee   & httpy/angel.co/binpress      © founders@binpress.com   Commercial open-source   Our business model   Revenue  $400,000 $300,000 $200,000  $100,000  2011 2012  2013  ap ye    $ ) $500,000  To be paid out to open source developers   Adam Benayoun Eran Galperin CEO cTo  ayaa  a ee eee Raising $1M   $800k closed  ( CHINAROcK CapiTat 00 ‘SCRUMVENTURES lia  Jun Li Warren Adelman Dave Johnson Elaine Wherry Patrick McKenzie CEO Godaddy CTO PhoneGap Founder Meebo  yr ey  Thank you!  & http://angel.co/binpress  ®& founders@binpress.com  ap ye",30
"[I  MATTERMARK  organizing the world's business information   FOUNDERS €.) twilio BE Microsoft  DANIELLE MORRILL CEO - acquired first 100,000 Twilio customers  KEVIN MORRILL CTO - !0 years at Microsoft, directed 50+ engineers  ANDY SPARKS COFOUNDER - founded LaunchGram (500 Startups)  ‘Mattermark 2014 ~ privileged and confidential, do not dstibute  the greatest minds of my generation   knowledge workers are a human API  “  couldn't do my job without Google and a spreadsheet”  public data  free data  content  Mattermark 2014 ~ privleged and confidential, do not dstibute  asking & re-asking the  same questions  re-writing the same queries  re-running the same reports   Fr global business processes a  $100B+ sales & marketing $40B  financial markets $4B  private equity $400M  venture capital  ®@ $40M  expensive questions, queries & reports   There has to be a more cintelligent way to do this   IST MARKET: PRIVATE INVESTORS   QUARTERLY REVENUE  HE Subscription Ml Enterprise fll Subscription Projection Ill Enterprise Projection  14 1.2 1.0 08 06 04 02 0.0  Q313 Q413 QUA Q214 34 O44 QIIS QS Q3IS Q45  Plan: grow self-service subscription 33% quarterly Add   new enterprise account per quarter through QI 2015 Add 2. new enterprise accounts per quarter Q2 2015 onward  Mattermark 2014 ~ privileged and confidential, do not distribute  F  ACCOUNTS  1 Paying Subscribers Il Enterprise Seats IB Free Trial I Founders.  Paid subscribers growing 31% MoM, Enterprise seats growing 71% MoM Total accounts growing 40% MoM  Mattermark 2014 ~ privileged and confidential do not distribute  80%  70%  60%  50%  40%  MONTHLY ACTIVE USERS  © % of Unexpired Accounts  I # Active Users  450  MATTERMARK PRO USAGE  I # Users Who Viewed Company Il # Users Who Searched © % Users Viewed Company © % Users Searched 600  500   finance is just the beginning  Revenues  Morningstar - $658M (2012)  S&P Capital 1Q - $1B (201!)  Dow Jones - $1.5B (2009, prior to NewsCorp acquisition) Gartner - $1.68 (2012)  Bloomberg - $7.9B (201 2) - terminal is 85%  Thomson Reuters - $1 3.38 (2012)  Mattermark 2014 ~ privileged and confidential do not distribute  ‘PAID CUSTOMER global business processes (DEVELOPMER  sales & marketing $40B  financial markets $4B  private equity $400M  vemos crpital  [— s4om  already much more than a VC tool   join our team   8)  APPENDIX  WEEKLY ACTIVE USERS  © % of All Unexpired Accounts  WH # Active Users  300  150  MONTHLY PAID CHURN RATE  paid accounts churned, by signup month Total Churned i Total Paying © Monthly Churn Rate 100 20% 16%  80 16% 5 3 8 6 12% < e 8 # 8% z 20 4% ) J Se ‘eee. June'l3  July'13 Aug'l3 Sept'13. Oct""13.Nov'l3_ Dec 'I3  ""Mattermark 2014 ~ privileged and confidential, do not distribute  [=] GOTO MARKET  EMAIL SUBSCRIBERS = LEADS  ‘© New Subscribers Monthly Growth Rate  80% 70%  June 13  7I  ‘Aug'!d— Sepe'I3—Oee""13 Nov""  July 13  Mattermark 2014 ~ privileged and confidential do not distribute  Dec""  Il Free Mattermark Email Subscribers  8000  6000  4000  2000  NEWSLETTER READERSHIP  © Email Open Rate MH Email Opens Ill Email Clicks   Total Free Subscriptions  60% 70.000 1% cas 48% 48% 60,000 50,000 § 40% E 40,000 B 30% = 30,000 3 20% eR 20,000 10% 10,000 on = @ @    Oo     a  july'13 Aug'l3Sept'13.-Oct""13.Nov'l3. Dec 13   WEBSITE ACQUISITION FUNNEL  data points collected, by source  © Conversion to Mattermark Trial © Conversion Rate to Newsletter 25% 22% 20% 15% 10/8 - 10/22  removed credit card requirement to sign up  10% 5% a 22 08% aor OF 13 July ""13. Aug '13 Sept 'I3 Oct 13 Nov'I3 Dec ‘13  Marten   SIGNUP PAGE CONVERSION RATE  1 Signup Page Views © Signup Page Conversion 3,500 celesed new desing 4094 se seu page yea 3,000 35% 3 a8 2,500 30% S 25% Z 2,000 Z 20% = 1,500 g 15% 5 3 1,000 ie é 500 2 5% rd  TRIAL TO PAID CONVERSION  © Overall Conversion to Paid M Trials w/ No Credit Card ll Trials w/ Credit Card © Trial w/ CC Conversion to Paid  1,200 60%  June'I3 July"" Aug'l3.—Sepe'I3. = Oce""13.—Nov'I3  Mattermark 2  riviloged and confidential do not dsrbute  LESSONS LEARNED FROM 6 MONTHS OF SAAS SALES:  TRIAL ACCOUNTS W/OUT CREDIT CARD INFO UP FRONT RARELY CLOSE  MAKE IT CLEAR WHEN YOU ARE CHARGING PEOPLE, OR THEY WILL CHURN  30 DAY TRIAL != 30 DAYSTO CLOSE  UPSELLING, DO IT.   [=] HIRING PLAN  CURRENT (9)    55%  Prospecting Ve Data QA lead gos Support lead Ben (Inside Sales, Support, Sequoia (Data Quality, ee Mimecne,    Nikhil (backend dev) Sales Support, Lead Gen)  Taylor (Inside Sales, Support, Account Management)   Clare (full stack, data scientist)     Bryan (back end, data scientist)  privileged and confidential Phiten October2013_-Mattermark 2014 - privileged and confidential do not dsbute  6 MONTHS (18) “  s!4  GOAL: unpacking multi  Head Head of of Sales Growth  +1 writer  “+1 account mor Ais +1 prospecting  privileged and confidential item October 2013,  i-role people, especially Danielle  +1 full stack  +1 DB expert +1 front-end  Mattermark 2014 ~ privileged and confidential,do not distribute  12 MONTHS (26)  GOAL leadership in key established team, growth experiments  Head of Growth  +1 account mgr  +1 inside rep +1 full stack marketer         :   ‘+1 support  +1 account mgr +1 qualifying +1 data QA  +1 leadership +1 data scientist +1 leadership +1 security, +1 mobile  privileged and confidential FhitermaicOctober2013_-Mattermark 2014 - privileged and confidential do not ditrbute  (8 MONTHS (35)  GOAL predictable revenue engine, reliable product roadmap  +1 inside rep +1 full stack marketer Aecant account mgr os  leadesia ea +1 prospecting a pepe and coder  Phiten October2013_-Mattermark 2014 - privileged and confidential do not dibute  QI 2014 Q2 2014 Q3 2014 Q4 2014 QI 2015 22015 Q3 2015  Team  9 \4 18 22 26 31 35 40  SIMPLE BUDGET  why we are targeting a $5-7 Million series A fundraise  Monthly Headcount Expense  $108,000 $168,000 $216,000 $264,000 $312,000 $372,000 $420,000 $480,000  $140,400 $421,200 $185,000 $218,400 $655,200 $201,000 $280,800 $842,400 $324,000 $343,200 $1,029,600 $422,000 $405,600 $1,216,800 $549,000. $483,600 $1,450,800 $726,000 $546,000 $1,638,000 $954,000 $624000 _ $1,872,000   $1 246000  $9,126,000 $4,609,000  Assumptions: Average $12,000/month expense per employee Prefer to pad cash requirement and raise 25-50% more than needed ($5.6 - 675 Million)  Quarterly Burn  $236,200 $454,200 $518,400 $607,600 $667,800 $724,800 $684,000 $624,000   in millions  COMPOUNDING IS POWERFUL  what happens if we take the quarterly revenue plan and extend it out into the future?  {Data Subscription @ Enterprise 140 120 100 80 60 40 20  2013 2014  2018",49
"cadee We’re helping golfers track  and improve their game  www.cadee.co  Why Golfers?  ereeeeeet rreeeeee  $$$$$  @cadeegolf  57,000,000 golfers worldwide  60% Make over $100,000 a year  cadee @cadeegolf  What does Cadee do?  Track and manage Find new playing : Discover new courses your stats : partners i  Understanding your game is tough  All they have right now is a paper and pencil.  cadee @cadeegolf  We make it easy  Golfers just take a picture of their  scorecard and it gets sent to us where we digitize the information.  amazoncom —  ‘Artifical Artificial iteigence  Tracking your stats is easy once we have all the data.  How do compare New andcap . & ~ an mS - a 2 CT] 3 patting  tit  cade EO SS  = steve / 24 72 You can find golfers who play the same so  a  courses and at the  same skill level  Find your competition  ——  02 4  4734 S  fal a mts  rer  192 4 nace  gu = mene ott  ‘Awards, achievements and trophies are all unlockable on Cadee  Feta aerate —""   52% retention Avg time spent:  (Users who have 5 minutes come back to add  more than one score)  Business Model  cadee  Golf courses want Golfer data  —  ——  Golfers want to know about tee times and deals  @cadeegolf  ft  Golf Courses  caidee w= °  ]  Deep Cliff   cadee @cadeegolf  We tested the market  1000+ $2. 60 $40  users in first month CPA LTV  World Domination  Advertisers love golfers  Right now, they’re sponsoring tournaments  FedExCup. 2 A  So we do tournaments online  Anyone can enter. All they do, is add a score.   Steve O’Connor Sean Rucker Stephen Taubman +8 Handicap +18 Handicap +36 Handicap Sales Developer Designer  Get in touch  founders@cadee.co www.cadee.co",45
"1 Tho Pitch   r-1 The Problem   ee  ig  ‘The Solution   Bid Review.  Accept Or Decline:  Video:https://vimeo.com/38692811  Se Ee rE   Creating an application for your new car and viewing competing bids has never looked this good.   Bids are assigned a relevance value so buyers can quickly pick the deal that best matches their requests.  Bid Review. Accept Or Decline,  Buyers may also write or read reviews written by other Bidzuku users about subscribing dealerships   Bidzuku dealerships ge    1%   Dealerships:  Car Buyers:   eg S automotive  roprietary Technology & Expertise   Our Magic. Bids are assigned a value based on how relevent they are to the bi ‘original requests. Better the match = better the value.   TRUECar  AutoTrader&>   territo S lower cost to conversion. the right channels. =--\< market growth.  on-site advertising.   Founder, Ul Design, Co-founder, Layout, Co-founder, DB Mgt, Business Development _ CSS, Javascript Development   Jack Zerby Mark Webster  Advisor Advisor - Founder & Designer of + Co-founder of Flavors.me, Goodsie.com, ‘SideTour.com, TechStar Hiidef Inc.  BY sg eee me",42
"@slidebean  Presentations that design themselves  (a5, Welusédiit to Create this presentation)   HOW LONG DOES IT TAKE YOU TO BUILD A RESENTATION?   E “=   Dave McClure  Founding Partner & Chief Troublemaker, 500 Startups  , (PayPal S [‘@] 500  startups    VC: Founders Fund, Facebook fbFund, 500 Startups  + Angel: Mashery, Mint.com, SlideShare, Twilio, Wildfire, SendGrid  + Marketing: PayPal, Simply Hired, Mint.com, oDesk, OReilly  80's & 90's:  intrepreneur: Aslan Computing (acq'd by Servinet/Panurgy) __ Windows / SQL DB consultant (Intel, MSFT) (iicrosot     What if your slides could look like THIS?   Soint  @ slidebean  Presentations that design themselves  ppebePeeeuedaeeeauaat  MONTHLY REVENUE ($)   +15,000 DECKS CREATED  35,000,000 presentations are delivered every day.  MICROSOFT    — & File _Edit_View Insert Format Tools Orew Window Fea  SES] (Galea al 1) (cs) (@) =F 1 el]  Click to add title  Click to add sub-title   @))  Prezi  COOENST! ESNNT  CONTENT DESIGN   44 VA  NO FLASH, NO PLUGINS   Marketing Teams  Marketing Teams Start Ups  eo)  Free(mium)  oO vy  Free(mium) Advanced $119/yr    A  Free(mium) Advanced PRO $ug/yr $159/yr  ¥  ®  “> Caya CEO  TEDx Speaker Intel @ 17  Caya Jose E. Bolafios CEO CTO TEDx Speaker 2x Mozilla Expand  Intel @ 17 the Web Winner  “> Caya CEO  TEDx Speaker Intel @ 17  Jose E. Bolafios CTO  2x Mozilla Expand the Web Winner  Vinicio Chanto VP Design  INCAE Business School  4 4 Presentations that design themselves.  SLIDEBEAN.COM y, y,  +50% MoM Revenue Growth  all =  +50% MoM #15,000 Decks Revenue Growth Created  +50% MoM #15,000 Decks Of course this is a Revenue Growth Created Slidebean Deck!",43
"The Next Stage of Moz:  How a tiny Mom + Son consultancy became the world leader in SEO  Software, and our roadmap to being Seattle’s next $1 Billion company  Rand Fishkin, CEO & Co-founder, SEOmoz July 2011  i SEOMOZ A Little Moz History (now in color!)  ‘Mors collection of tools ‘becomes a singular, ‘ampaign-based web app. Prices rise to $99 / $499 /  $1999 per month.  Deeply in debt, and failing  and stars working toget traficto cients!  ‘w/Gilian biding sites, Rand starts the  websits for smal, sEOmor Blog as part of usinesse learning the S€0 process.   Gillan (Rand's Rand drops out of Lnkseape, SEOmoxs web     SEOmoris moving from  ‘Mom)foundsthe     UW, 2classes from indexandlinkgraph,  _  just “SEO” to socal media,  ‘company that wil     graduation to work launches, By December, content marketing, “mari     analytes, local and video.  fulltime w/ Gillan  le  i SEOMOZ  2011 will be our first 8 figure year, and  siemmoo00 maintain margins  saemo0 We took one round April of 20 7 financing in 2007; $1.1MM hit1.2+MM PRESw from Ignition + Curious visits/month and 10K+ subscribers  seem  seo  somo  omc item sn reed 8 ase [mtnaing to sone ‘pon = E  http://www.seomoz.org/blog/the-story-of-seomoz  =  ‘Monthly Visits  How’d We Do That?   i SEOMOZ  INBOUND MARKETING!  y_—> (AKA all the “free” traffic sources)  Forums   @ SEOMOZ  That's what we want to help other companies measure + improve through our  (oud based software.   # SEOMOZ  Macroeconomic Trends that Benefit Moz  i SEOMOZ  Marketing Spend is Still Unbalanced vs. Behavior  avers   ## SEOMOZ  Organic Marketing is Under-Invested  Social Networking  Social News  Organic drives 90%+ of traffic  Paid Advertising  (but garners only $5 billion of  investment in 2011) Paid drives  <10% of web traffic  (but wins a whi $31+ Billion ment in  Percent of Web Traffic from Various Sources to the Average Website  =e   @SEOMOZ  It’s a Data-Driven World and Efficiency is King  (2 MORE lh Lest  ‘WE NEED MORE FREE  GIVEN THE RIGHT  TRAFFIC, BUTIT ONLY TOOLS + DATA, I CAN e@ © sente5 wren / gy ~ 00 THE WoRK OF 19 Executives Marketing 1g Managers Web Marketers ———— {(Stuckinnio Middticom) (Organicus Ninjtsu)  scalable, high quality  and almost non  ## SEOMOZ  Problem(s) We’re Here to Solve  a  &# SEOMOZ  Organic Web Marketing is Poorly Understood  me (Measure Traffic and ‘ ROI Effectively  Earn Outsized Traffic/Branding/Customer  Acquisition Rewards vs. Paid Marketing Channels  i SEOMOZ The Web Marketer’s Weekly Analytics Challenge  Every week (sometimes daily), web marketers need to log in to each of these services (or a suitable substitute) to collect their KPIs:  Many (75%+) Most (~50%) Some (~10%)  Google Analytics Bing Webmaster Tools SEOmoz Facebook Insights Google Alerts PostRank  Twitter (Topsy/Hootsuite) Feedburner FourSquare  Google Webmaster Tools Bit.ly Google Local  Yahoo! Site Explorer Yelp   # SEOMOZ Specific, Painful Web Marketing Tasks  Each of these requires special tools, large amounts of manual labor  or custom-built, in-house/agency solutions: Prioritizing + Managing Tasks 7 Training New Ss Marketers   # SEOMOZ  Our Target Market  bk  i SEOMOZ  Marketers  ld Schoo! (non web) Marketers   i SEOMOZ  We Help Marketers Who Focus on Organic  Eichve 3 2 Moz's Current — i Target Market re es 54 2g, Mateo B g8 29 Miimal Neva None Mina Neceaie Stone Eipet  Level of Experience   (i SEOMOZ Immediate Customer Targets:  These titles/job functions represent our current (2011-13) targets:  In-House Consultant) /Agency Director of Marketing SEO Consultant Blogger SEO Specialist Organic Marketing Consultant Social Media Expert Soares Maat Search + Social Consultant Site Owner Die: Marketing Waraer ‘Web Marketing Consultant Webmaster Director of Growth Domainer  Inbound Marketer   # SEOMOZ  Where are We Today?  =  i SEOMOZ  1 Estimated Revenue $12 - $13 million  ~$10.8 million  Number of PRO Subscribers 3,500  # of New Free Trials / Day  Avg. Customer Lifetime Value  Current Revenue Run Rate (June)  Implied Customer Life ~9 Months  Avg. Cost of Paid Acquisition  Avg. Monthly Revenue / Subscriber   i SEOMOZ  % of Free Trials Converting to Paid  Gross Margins  Estimated Net Profit in 2011  Crawling, Serving, Hosting + Processing ~$180K / Month   # SEOMOZ  Planned Investment Round     # SEOMOZ  2 Investors (Michelle +1)  2 Insiders (Rand +1) 1 Independent (TBD)   Business Risks     i SEOMOZ  Google Integrates Much More SEO & Social Analytics Functionality in the Short Term   i SEOMOZ  The Web Becomes Less Open   i SEOMOZ  We Fail to Adapt/Grow Fast Enough to Keep Up wi Organic Marketing Shifts  digg —= +00 reddit — 026  Search Vousme nex  i SEOMOZ  Our Reputation Suffers Due to Missteps in Culture, Data Quality or Reliability   ## SEOMOZ  Use of Funds / Growth Opportunities 2011-2012  c Serve a Wider Audience w/ Expanded Product  o}aaley4  2011 2012 2013+ Organic Search/SEO Local Search + Portals Forums /QtA (Googe, Bing, Yahoo!) (Google + Bing Maps, Yelp, FourSquare) _(SlackExchange, Quora, V! Answers) Social Networks Brand + Link Monitoring (FB, Unkedin, Twitter, Google+) (Blogs, Press Releases, Meinstream Metia) _—(YouTube, Vimeo, SeltHosted)  Q+A / Social Content Sharing The Next Big Thing (Quora, StackExchange, Redd, SU, Tumbr) _ (Diretores 2.07 Mobile Photo-Sharing?)  e2c8  Become the Default Productivity + Research & &@ a  Suite for Organic Web Marketers   i SEOMOZ  2 Year Team Roadmap from 40-100 Mozzers  Product Engineering User Experience Broad Web Crawl Design + UI Rankings Data ‘Subject Matter Experts Local Data Wireframing + Specs Social Data Testing / OA Front End / Web App.  Fresh Web Data  istomer Success  (Delight W  embers)  Content/Media/Research Community Management PR / Press / Outreach Events  Paid Acquisition  ntion  Financial + Accounting API & Higher-Tier Sales Facilities Customer Service  HR/Mozzer Happiness Customer Outreach  Quant + Cohort Analysis Email + On-Site Messaging  Q&A Assistance  i SEOMOZ  Sales/Marketing Investments  Paid Acquisiti (PPC, Behavioral, Social, etc)  Web Crawl   i SEOMOZ  Potential Acquisitions  _—=  getlisted  TweetStats 7 iz — In ur Tweets, Graphin’ Your Stats! GLSSAIUDIENCEWISE  s2 SEO @®GADGET pm distilled 4% ontolo le   # SEOMOZ  Why Moz is Uniquely Positioned to Win the Organic Market  i SEOMOZ   &SEOMOZ  We have a rare opportunity to become Seattle’s next $1 billion+ company, and we'd  love to have you join us for the ride.",50
"Welcome 1  AirBed&Breakfast  Book rooms with locals, rather than hotels.   Problem 2  Price is an important concern for customers booking travel online.  Hotels leave you disconnected from the city and its culture.  No easy way exists to book a home with a local or become a host.  tate by PitchDeckCoach.com   Solution 3  A web platform where users can rent out their space to host travelers to:  Bt ie  ‘Template by PitehDeckCoach com  Market Validation  630,000  ‘on temporary housing site couchsurfing.com  17,000  temporary housing listings on SF & NYC Craigslist from 07/09 - 07/16  ‘Template by PitehteckCoach com  TRIPS BOOKED (WORDLWIDE) BUDGET & ONLINETRIPS — TRIPS W/AB&B Total Available Market Serviceable Available Market Market Share  Textphit by teheekseeh coe   Product 6  SEARCH BY CITY ———> REVIEW LISTINGS ———> BOOKIT!  nzpl   Business Model 4  We take a 10% commission on each transaction.  ae) —— $20 —— $200M  TRIPS W/AB&B AVG FEE REVENUE Share of Market $70/night @ 3 nights 2008-2011  ‘Template by PitehDeckCoach com  Market Adoption  EVENTS target events monthly  Octoberfest (6M) Cebit (700,000) Summerfest (1M) Eurocup(3M+)  Mardi Gras (800,000)  with listing widget  Widget screenshot  PARTNERSHIPS cheap/alternative travel  GRBITZ  CRAIGSLIST dual posting feature  AirBnB  screenshot  Craigslist screenshot  1 PechDeckCoach:  Competition 9  AFFORDABLE csi   Seen AirBed&Breakfast craigslist OFFLINE TRANSACTION ONLINE TRANSACTION —_—  alsa   hStelscom.   S.  EXPENSIVE  ‘Template by PMichbachCosch. com  Competitive Advantages 10  1% TO MARKET HOST INCENTIVE LIST O!  Lorem ipsum dolor sit amet, Lorem ipsum dolor sit amet, Lorem ipsum dotor sit amet, consectetur adipiscing elit. consectetur a clit, Integer nec odio, Praesent Integer nec odio, Praesent Integer nec odio. Praesent  libero. libero. libero.  EASE OF USE PROFILES DESIGN & BRAND Lorem ipsum dolor sit amet, Lorem ipsum dolor sit amet, Lorem ipsum dotor sit amet, ‘consectetur adipiscing elit, consectetur adipiscing elit. ‘consectetur adipiscing elit. Integer nec odio. Praesent Integer nec odio. Praesent Integer nec odio. Praesent libero. libero. libero.  ‘Template by PitehbeekCoach com  Download a PPT version of this pitch deck and use it to build   Did you enjoy this deck?  Read my blog post on “The Pitch Deck”",49
